Designator,Mid X,Mid Y,Rotation,Layer
C1,149.7,-42.5,90.0,top
C11,124.6,-104.3,90.0,top
C12,150.25,-93.6,180.0,top
C13,150.25,-91.5,180.0,top
C14,150.25,-95.7,180.0,top
C15,134.69,-41.8,90.0,top
C16,137.7,-41.8,90.0,top
C17,88.6,-74.0,0.0,top
C2,147.5,-42.5,90.0,top
C3,151.9,-42.5,90.0,top
C4,119.2,-104.25,90.0,top
C7,152.3,-63.8,90.0,top
C8,147.9,-63.8,90.0,top
C9,150.1,-63.8,90.0,top
D1,88.5,-90.5,180.0,top
F1_30AMP1,102.6,-82.1,270.0,top
J1,168.0,-63.0625,180.0,top
J14,118.0,-114.0,90.0,top
J15,88.4,-63.0,0.0,top
J2,168.0,-79.825,180.0,top
J3,88.4,-102.0,0.0,top
J4,130.0,-114.0,90.0,top
J5,168.0,-94.0475,180.0,top
J6,113.98,-70.0,0.0,top
J7,168.0,-46.3,180.0,top
J8,168.0,-107.0,180.0,top
J9,129.2,-70.0,0.0,top
R1,159.575,-48.3,0.0,top
R10,137.0,-79.48,180.0,top
R11,137.0,-76.28,180.0,top
R12,137.0,-74.68,180.0,top
R13,137.0,-71.5,180.0,top
R14,137.0,-68.3,180.0,top
R15,159.6,-57.3,0.0,top
R16,159.6,-59.9,0.0,top
R17,159.6,-62.4,0.0,top
R18,159.6,-65.0,0.0,top
R19,159.675,-80.2,0.0,top
R2,159.575,-50.8,0.0,top
R20,159.675,-81.8,0.0,top
R21,159.675,-83.4,0.0,top
R22,159.675,-85.0,0.0,top
R23,137.375,-54.5,180.0,top
R24,137.375,-51.9,180.0,top
R25,137.375,-49.3,180.0,top
R26,137.375,-46.7,180.0,top
R3,159.575,-53.3,0.0,top
R30,121.1,-104.5,270.0,top
R31,126.5,-104.5,270.0,top
R32,85.0,-56.0,90.0,top
R4,159.575,-55.7,0.0,top
R5,122.7,-104.5,90.0,top
R6,117.3,-104.35,90.0,top
R7,137.0,-69.88,180.0,top
R8,137.0,-73.1,180.0,top
R9,137.0,-77.88,180.0,top
U1,147.6,-73.1,180.0,top
U2,155.5,-92.9,0.0,top
U4,147.1,-51.4,180.0,top
U5,121.5,-70.035,270.0,top
U6,99.0925,-45.655,270.0,top
